index,herb
370,胡桃花
1063,辣椒
1062,地黄
1061,枳根皮
1059,峨参
376,落花生
377,杨梅根
1058,莱菔
379,大力子
380,丁香露
1334,木槿根
334,光头独活
358,沙参
356,长药隔重楼
336,秋水仙
337,枣仁
338,瓜蒂
339,儿茶
340,刺五加
1078,满山红
342,暴马子
343,百合花
344,风箱树叶
1443,吴茱萸叶
1445,刺人参
1076,毛果芍药
348,小叶贯众
1073,穭豆
1444,鹤虱风
351,甘草稍
352,芋叶
353,金樱花
354,苍耳花
355,甜瓜花
1077,牛西西
284,炮诃子
287,麦角
239,古城玫瑰树
1461,蔓荆子
223,石花
224,葱汁
226,草莓车轴草
1460,胡桃树皮
1144,红柴胡
229,长白松
230,喜树
231,华东蓝刺头
1143,君子兰
233,白花丹
1142,甜瓜茎
1141,生瓜
1459,厚朴子
1140,三尖杉根
238,水栀根
283,诃子叶
1323,猪屎豆
1137,香樟根
221,橄榄核
242,紫葳茎叶
220,侧柏叶
218,无患子皮
1166,青蒜
198,柠檬叶
1163,桃茎白皮
1161,芫花根
1465,华中前胡
202,樟脑
203,罂粟
1156,旱莲草
1155,杨梅树皮
207,功劳子
1464,淫羊霍
1463,葱
210,豆油
1321,灵芝草
1462,榆树
214,藕
1322,北美葶苈子
216,葱须
217,柿根
219,黄花蒿
1457,柿子
775,胡萝卜
1325,羊蹄
261,甘薯
278,昆明山海棠
1126,山荷叶
277,黄精叶
1125,紫金牛
1324,连翘根
1124,硫磺
273,决明子
1123,肝风草
1122,姜叶
1115,丽春花
275,西党
269,丁香树皮
270,山豆根
271,五加叶
272,辣椒头
266,鸡冠苗
1128,南瓜
274,臭牡丹根
251,生山栀
248,柏枝节
1134,大金牛草
1114,紫苏叶油
1132,大叶柴胡
279,姜
1455,华鬼臼
253,茶子
1454,狼把草根
254,山梗菜
1130,紫雪花
