index,target
4025,GP1BB
3525,PPBP
3620,IFNLR1
3999,SH2B2
3544,LPL
3547,KLK3
4455,AMHR2
3585,OAS2
4458,MIR10B
4859,TUBB2B
3995,PRIM2
4461,AP2S1
3564,S1PR4
3968,PRKAR1A
3970,DAO
4466,GGT6
4467,ESR2
3569,HTR1F
3974,AGPAT3
3579,AK9
3975,LAP3
3573,CDO1
4874,PER3
4871,DCT
3543,STX1A
3476,RBPJL
4450,FZR1
3598,ALAS1
4929,TUBB2A
4928,SULT2A1
3618,CHRM4
4433,ENO1
4021,ALAS2
4923,CCBL2
4020,KLRC3
4916,POLR1A
3613,ATP6V0A4
3951,CEBPB
4438,BCR
4912,CCR3
4844,SCTR
3610,PDE4B
3608,CXCL16
4501,ENTPD5
4443,HCK
3601,APBB1IP
4907,GALK1
4500,DIAPH1
4902,MADCAM1
4493,GDF7
3922,LPAR5
3474,CTF1
4538,HPRT1
4113,SELPLG
5060,NF1
4344,PDE2A
4749,PIM1
4750,POLR3E
4111,ID3
5056,ACP1
5055,HPSE
3887,POLR1C
4347,HEPH
4348,CD36
4751,ESPL1
5053,CHKA
3404,KAT2B
3888,PRPS1
3693,JUND
5050,GCG
3410,SNAI2
4356,NTPCR
3411,ENTPD6
4360,C4BPA
3695,KCNJ2
3689,PTGS1
3398,CXCR3
4337,PCYT1A
3720,BUB3
3871,KIR2DS1
4319,HTR1A
3375,AKR1C1
4742,IL24
5079,TUBA1B
4131,MAGI1
4130,CCBL1
4746,CTSS
4747,CD74
3707,BAAT
4127,CYP2J2
4332,GPAM
3702,IL11RA
3701,CFH
3885,FTCD
3698,POLR2G
4122,SORD
5068,BUB1B
4748,POLR3F
4579,XBP1
4115,C5AR1
3721,MDM4
5038,TCEB2
3420,GFPT2
3671,POLR3A
3447,OPRM1
5009,C3AR1
4381,INPP5J
5005,FCGR2C
3451,SUCLG2
3664,ENTPD1
4545,LPCAT1
3453,NME1-NME2
5003,LOC102724560
4544,IRAK3
4387,NFYC
4542,HOXD10
4065,NPR2
4993,RRM1
4992,HTR1D
4388,TUBA3E
3654,GSN
4793,AP2M1
4987,IDO1
4986,PRPS2
4378,SLC8A3
4569,DNMT3A
5015,INPP5A
4779,MS4A2
4567,POLR2D
4565,POLR3H
5033,RPE
4561,SCIN
4558,BDH2
3427,PIK3AP1
3904,POMC
4770,PPP1R1A
3681,XCR1
5025,GP9
3678,PMM1
3432,TRAF4
4772,PDE1B
4773,PVRL2
4774,GATM
4083,NODAL
5022,NME1
4365,AGPAT9
4367,EPAS1
4079,PRKAR2A
4368,PKN3
4780,GRM3
4240,LIPE
5218,CSNK1A1
3274,ARNTL
2338,F2
903,PTGER3
911,MLST8
2324,HOMER3
912,POLR3C
919,RORC
2321,NKX3-1
2318,PVRL3
2315,CTSD
924,NFYB
929,CYP19A1
934,KCNMB1
936,UPP2
938,CCNG1
2306,TWISTNB
2341,IMPA1
899,GP1BA
2343,E2F5
894,PTPN1
829,EEF2
2406,BPGM
2405,CFB
2399,ENTPD4
2377,POLR1B
853,TUBA1C
2369,POLR2J3
941,MAP3K4
2368,CCL1
882,TSHB
2361,TBXA2R
2360,EPT1
887,CCR2
2357,CCL27
2356,GMPPA
2349,UMPS
880,CCKBR
824,RGS2
2303,ATG12
2294,TNFSF13
2212,GRK7
2210,NKD1
2206,TLR1
999,GALE
2204,FUT2
2203,GRK5
2202,OCRL
1010,PPAT
1013,CDKN2D
1019,SYNJ2
2174,PTGER2
2173,ACO1
1036,GABARAP
2172,DGAT2
1046,ATP6V0D1
998,ALDH5A1
986,MCL1
984,ELMO2
983,KAT2A
2278,FUT1
958,CYP3A7
2274,GPX7
2273,IL22RA2
2268,RFXANK
2265,VHL
2262,AP2B1
944,GATA4
962,ATP6V0D2
966,CXCL5
2250,GPX6
973,LILRB3
2243,NME6
2242,PI4K2B
2241,LOC101060521
980,FUK
2255,CYP2D6
2166,SMAD9
816,HMGCR
2417,SGK3
569,DAPK1
570,BMP6
572,TPR
578,PFKFB4
2623,IFNE
601,ITGAX
610,TUBB4A
2613,ZNRD1
2607,TXNRD1
629,ARAP3
633,FPGT
2596,HRH1
2592,BMP5
2591,MRVI1
642,NCAM1
2638,LPAR2
2646,CYP2C18
