index,target
3923,OR51B5
2178,HSD17B10
3933,OR1F1
3932,OR4N5
2181,OR5A2
2182,OR1S2
2183,IQGAP3
2184,F2RL2
2130,MICB
3143,GGH
2186,HDAC6
2188,CLEC4M
3142,SERPINB2
3929,OR2T4
2193,PYCR1
3339,THRB
3924,ALG10
2185,OR6N1
1997,MATK
1980,UNC5B
1995,OR2T11
4179,PTGES2
1780,SESN2
4175,OR9G1
1782,SERPINB1
3250,RUNX1T1
4174,RAB11A
4172,GABRA4
1778,SCNN1A
1785,FAM213B
1786,NCR2
1787,RETSAT
3248,OR8A1
3289,F3
3246,FXYD4
3245,MED13L
1790,GBE1
3287,CYP11B1
1791,IDH3A
1777,HAO1
1775,CD2
3285,SCNN1B
1758,PROC
1761,EEA1
1762,SEMA3A
1763,HIST1H2AK
1764,S100G
4188,OR5H14
3251,LIPA
4187,SGSH
4186,SELL
1769,OR5D14
3286,CD70
4183,NOG
1772,LYPLA1
4181,ETHE1
1774,RIMS1
1767,MAN2A1
4171,KIDINS220
1793,OR10J3
4170,MIRLET7I
1820,GLG1
1821,P4HA2
1822,ABCB4
1823,TNFRSF8
4155,CHSY1
1825,GTF2E1
4154,HIST1H4L
4156,B3GALT4
4152,PDE7A
1829,SLC5A7
1830,CD48
3239,PDE6D
3238,ALDH1L1
3237,MCCC2
3236,PNPLA4
4147,P2RX1
4151,GBGT1
1816,MAPK8IP1
1815,SEMA3G
1814,DNM1L
4169,ASH1L
1796,CLDN8
1797,KIF5C
1798,DTYMK
4168,SMC1B
3244,NGEF
1801,SH2B1
3243,KIF5B
1802,REC8
3242,LRP1
3241,FOXP1
1803,GALNT2
3240,GNS
1805,OR4C11
1808,F7
1811,AMY2A
1813,LILRA1
1756,CPEB1
1836,LAMP2
1754,GALNT16
3255,ORC6
3271,FECH
3270,MYH8
1701,ABCB1
4226,CLDN10
1703,B4GALT6
1704,OR52J3
1705,CASP6
4228,CYSLTR1
4225,CRTC3
3269,DUT
1710,HAGHL
4219,OR7A5
4218,OR56A4
4217,MIR141
3268,OR4B1
1714,OR1G1
4220,SGMS2
1716,MVD
3272,CNTNAP1
1695,PIGS
3275,AFP
1680,MRC1
3280,OR2C3
4239,NMRK1
1682,XYLT2
1683,SLC44A3
3273,TPO
1696,STRADA
1684,DLGAP1
4238,EXTL2
4237,ST3GAL4
4235,ACSS3
4234,PLEKHM2
1691,NEU3
4233,OR2T33
1693,OR5L1
1685,SLC7A1
3267,OR10A4
1717,PDE6H
1718,PDE5A
1735,TRPV4
4207,MIR183
1737,MIR125B1
1738,BRAP
1739,CYP24A1
4206,HIST1H3B
4204,OR6B3
4208,OR5B3
1742,PLXNA1
4200,ME3
1746,NTSR1
3257,SEMA4G
1747,OR10V1
4199,FER
4197,OR2A14
3256,SLC27A5
4203,SLIT1
1733,EHMT1
1732,CDC6
4209,OR2A25
1719,OR8B12
4213,PNLIP
1721,DFFB
3266,SLC33A1
4212,ELAVL1
1723,OR8B3
3281,TMSB4Y
1724,PLA2G7
1725,PDE9A
3263,DDO
3284,HIST2H4B
1727,ROBO3
3260,PTGDS
1728,LALBA
3259,SLAMF1
1729,MAT2A
4210,ATP5G2
1753,MIR30A
3235,TTK
4145,OR3A1
4144,CLDN24
3203,GABRB3
1941,NKD2
3308,PIGX
3199,RAB8A
4078,RENBP
1943,CRB3
4076,H2BFWT
1939,CNTN1
4074,TNNC2
1947,ELF5
3309,MGAT3
1948,DERL1
1949,MIR222
1951,CD226
1952,P4HA1
3310,ABCB11
1946,SRSF5
3311,RECK
1937,OR2F1
3306,TRPC1
1919,HDAC10
4092,SRSF3
4091,SLCO1B1
4090,HIST1H2AE
1923,PAFAH2
1924,OR5D18
3302,CD27
1936,TAS2R60
4089,OR2M7
4087,XYLB
1929,HIST1H4G
4086,ATF1
4085,PIDD1
3205,ST6GAL2
4084,OR8J3
4080,ATP5A1
4088,GALNT15
1955,AANAT
4073,PPCS
3195,OR2L13
2296,HIST1H2BN
4059,FBXO32
1982,SLC44A4
3314,SCNN1G
4058,CDCA5
3188,OR8H3
4055,PSMC1
1979,TRPA1
3315,DLL1
4053,ULK2
4052,GPCPD1
1991,PLXNA3
1992,ASAP2
4051,KLKB1
3316,NCR1
1994,HACD2
4054,SOST
3313,TNFRSF6B
3191,IDUA
1976,OR4F5
4070,MCM5
1959,B4GALT5
3312,KCNJ8
4067,PTCRA
1962,SEPHS1
3192,SPTLC3
1964,RBKS
4066,PAFAH1B1
1966,SCD5
1968,OR8B4
4064,SUV39H2
4063,OR4F3
1971,OR51D1
1972,AHCYL1
1973,P2RX5
1974,FAXDC2
1975,OTUD5
4094,WBSCR17
4096,TFRC
1916,DTX3
