index,herb
635,木瓜枝
636,莪术
637,槐叶
638,三颗针
639,赤松
640,吴茱萸
641,木香
642,姜
643,功劳木
644,瓜蒌子
645,罂粟
646,厚朴子
647,血余炭
648,西川芎
649,广东土牛膝
650,藿香根
651,胡椒
652,桃枝
653,土茯苓
654,柚核
655,柚根
656,樟脑
657,牡蒿根
658,牡丹皮
659,黑胡桃
660,土黄莲
661,八角茴香
662,狭叶假人参
663,鬼臼
664,海风藤
665,蓖麻子与蓖麻油
666,大黄茎
667,海棠果
668,粗柄铁线莲
669,炒枣仁
670,柿子
671,淡豆豉
672,黄芩子
673,甘薯
674,黄连芽
675,油柑根
676,桂枝
677,金针菜
678,关木通
679,葱
680,桂皮
681,买麻藤
682,金鱼
683,苏梗
684,栀子叶
685,黄花夹竹桃
686,栀子
687,辛夷
688,荠菜子
689,重楼
690,薄荷油
691,马兜铃
692,茯神木
693,九节茶
694,黄瓜根
695,赤茯苓
696,女贞叶
697,石蒜
698,肉豆蔻
699,通花根
700,灵茵陈
701,扁豆花
702,红海椒
703,西红花
704,洋金花
705,威灵仙
706,橘叶
707,酸枣仁
708,枳根皮
709,金刚刺
710,广藿香叶
711,白苏梗
712,黄甘草
713,炒苏子
714,红柴胡
715,清风藤
716,峨参
717,鱼腥草
718,荭草花
719,射干
720,木槿花
721,何首乌
722,鼠李根
723,苍耳根
724,刺五加
725,半夏
726,茶叶
727,柚花
728,桑白皮
729,泽泻
730,羌活
731,地不容
732,臭冷杉
733,牛蒡根
734,北豆根
735,车前草
736,乌头附子尖
737,菠菜
738,栀子花
739,郁金
740,莨菪叶
741,矮地茶
742,棉花壳
743,高粱姜
744,泡桐果
745,杨梅核仁
746,桑寄生
747,半枝莲
748,大独活
749,槐花
750,白胶香
751,无患子叶
752,石莲子
753,决明子
754,白桔梗
755,桂皮油
756,生军
757,蛇床子
758,荷叶
759,汉防己
760,苦豆子
761,鼠李皮
762,银不换
763,桂子
764,枸杞叶
765,槐角
766,草莓车轴草
767,茵陈蒿
768,地椒
769,灯台叶
770,长前胡
771,刘寄奴
772,生姜
773,白苏叶
774,生锦纹
775,桃子
776,大叶钩藤根
777,枳实
778,吊岩风
779,黄柏
780,山扁豆子
781,五倍子
782,马钱子粉
783,一叶萩根
784,照山白
785,枸杞子
